NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Creek County, Oklahoma",71522,71604,71704,71312,70892,70632,70470,70651,70467,70133,70244,69822,69073,69146,68033,134700,126800,135000,113700,109600,102000,106300,104000,112300,108700,107900,105000,105600,88600,80100
"Robeson County, North Carolina",130625,131831,132606,133235,134197,134760,134841,135496,135517,134473,129559,129123,128149,129021,123921,73600,78900,77100,74200,78000,71600,63600,71600,70700,63500,66600,76000,66600,76300,57400
"Jefferson County, Alabama",658573,659300,659197,659521,660367,660793,659479,660009,658931,658555,665027,659503,658779,656700,641690,170000,166900,160200,152000,155000,142500,143300,142000,141100,141500,139900,145900,140000,128400,118400
"Kaufman County, Texas",136154,128622,122883,118350,114690,111236,108568,106753,105358,103927,103038,100527,96373,93241,87655,215000,190100,182300,163400,145600,127300,150000,121400,124000,132200,123500,130600,131200,125600,123500
"Putnam County, New York",98320,98892,99323,98900,99042,99487,99645,99607,99933,99713,99265,99244,99489,100603,98303,362700,354800,359700,362300,344400,353600,355900,356200,359900,390400,396400,423900,441800,407800,403900
"Hartford County, Connecticut",891720,892697,895388,892389,895841,897985,898272,897259,894705,894478,879835,877312,876824,876927,850068,243300,241700,241000,238400,238500,233300,230300,236900,240500,248300,250300,254600,247100,240400,224200
"Ontario County, New York",109777,109864,109899,109828,109561,109707,109103,108519,108525,108116,105650,104475,103956,104353,101340,164300,166200,166100,154300,156400,149800,145900,134800,137100,134500,136600,134400,126900,114000,114100
"Pima County, Arizona",1047279,1039073,1022769,1016206,1010025,1004516,996554,992394,989569,982154,1020200,1012018,967089,946362,902720,211600,198100,182300,170300,165900,158400,155300,153500,165700,173200,188500,210200,210700,204800,167400
"Spokane County, Washington",522798,514631,506152,499072,490945,484318,479398,475735,473761,472147,468684,462677,456175,446706,425684,261400,243400,222200,201300,194400,182700,179300,174900,185600,187000,193500,207300,186200,163000,147000
"Lorain County, Ohio",309833,309461,307924,306365,305147,304216,302827,301478,301614,301449,305707,304373,302260,301993,287985,164000,156900,143600,146400,143800,136800,134000,136500,140300,144000,147900,147000,147900,146700,141300
"Erie County, New York",918702,919719,925528,921046,922578,922835,919866,919086,918028,918652,909247,909845,913338,921390,898981,165500,160200,153300,146400,139800,131800,127600,127200,124400,123700,119900,119700,112000,108900,102600
